FEATURE                                    DSL VERSION  FEATURE SUPPORT  VERSION SUPPORT  SINCE
gaggle.spec.backlog                        2.0          ga               supported        dev
gaggle.spec.backlog.labels                 2.0          ga               supported        dev
gaggle.spec.backlog.provider.github        2.0          ga               supported        dev
gaggle.spec.displayName                    2.0          ga               supported        dev
gaggle.spec.isolation.namespace            2.0          ga               supported        dev
gaggle.spec.project                        2.0          ga               supported        dev
gaggle.spec.project.provider.github        2.0          ga               supported        dev
goober.spec.capabilities                   2.0          ga               supported        dev
goober.spec.displayName                    2.0          ga               supported        dev
goober.spec.gaggle                         2.0          ga               supported        dev
goober.spec.harness.copilot                2.0          ga               supported        dev
goober.spec.harnessOptions                 2.0          ga               supported        dev
goober.spec.instructions                   2.0          ga               supported        dev
goober.spec.model                          2.0          ga               supported        dev
goober.spec.role                           2.0          ga               supported        dev
goober.spec.scaleFactor                    2.0          ga               supported        dev
goober.spec.skills                         2.0          ga               supported        dev
goober.spec.tools                          2.0          ga               supported        dev
goober.spec.workflows                      2.0          ga               supported        dev
stage.resultFile                           2.0          ga               supported        dev
stage.run.command                          2.0          ga               supported        dev
stage.run.workspace.repo                   2.0          ga               supported        dev
stage.shell                                2.0          ga               supported        dev
task.agentic                               2.0          ga               supported        dev
task.capabilities                          2.0          ga               supported        dev
task.deterministic                         2.0          ga               supported        dev
task.expectedOutputs                       2.0          ga               supported        dev
task.goal                                  2.0          ga               supported        dev
task.goober                                2.0          ga               supported        dev
task.inputs                                2.0          ga               supported        dev
task.name                                  2.0          ga               supported        dev
task.next                                  2.0          ga               supported        dev
task.onTimeout.fail                        2.0          ga               supported        dev
task.policyActions                         2.0          ga               supported        dev
trigger.schedule                           2.0          ga               supported        dev
workflow.spec.displayName                  2.0          ga               supported        dev
workflow.spec.gaggle                       2.0          ga               supported        dev
workflow.spec.readiness                    2.0          ga               supported        dev
workflow.spec.readiness.maxConcurrentRuns  2.0          ga               supported        dev
workflow.spec.readiness.maxRunsPerHour     2.0          ga               supported        dev
workflow.spec.start                        2.0          ga               supported        dev
workflow.spec.tasks                        2.0          ga               supported        dev
workflow.spec.triggers                     2.0          ga               supported        dev
workflow.terminal.complete                 2.0          ga               supported        dev

44 feature/version row(s)
